Event       ,Day_of_flood, Date       , S-pump_on , S-pump_off , F-pump_on , F-pump_off 
Test,1, 2021-08-25 , Ê         , Ê          , 06:00     , 16:00      
Test,1, 2021-09-09 , 06:00     , 16:00      , Ê         , Ê          
TEMPEST I   ,1, 2022-06-22 , 05:05     , 14:38      , 05:07     , 15:00      
TEMPEST II  ,1, 2023-06-06 , 04:45     , 15:07      , 04:45     , 14:50      
TEMPEST II  ,2, 2023-06-07 , 04:52     , 15:00      , 04:57     , 14:39      
TEMPEST II  ,1, 2024-06-11 , 05:10     , 15:36      , 05:10     , 15:36      
TEMPEST II  ,2, 2024-06-12 , 05:08     , 15:19      , 05:10     , 15:25      
TEMPEST II  ,3, 2024-06-13 , 05:21     , 15:29      , 05:22     , 15:28      
