Site,Plot,mean_value,min_value,max_value,Event,Day
TMP,C,102.0443147,15,475,TEMPEST1,1
TMP,F,113.1005012,55,220,TEMPEST1,1
TMP,S,1653.191042,23,3643,TEMPEST1,1
TMP,C,106.1284182,13,443,TEMPEST2,1
TMP,F,119.4751553,0,215,TEMPEST2,1
TMP,S,1408.573097,19,2759,TEMPEST2,1
TMP,C,90.38149328,0,432,TEMPEST2,2
TMP,F,123.122288,61,215,TEMPEST2,2
TMP,S,1736.446437,612,3031,TEMPEST2,2
TMP,C,75.55309361,12,351,TEMPEST3,1
TMP,F,120.0842036,33,223,TEMPEST3,1
TMP,S,980.981516,15,2102,TEMPEST3,1
TMP,C,73.2008066,11,344,TEMPEST3,2
TMP,F,124.8976452,57,213,TEMPEST3,2
TMP,S,1284.993748,593,2340,TEMPEST3,2
TMP,C,72.38978923,11,340,TEMPEST3,3
TMP,F,128.0254436,57,220,TEMPEST3,3
TMP,S,1419.513703,725,2488,TEMPEST3,3
